product_name,below_18,18_to_25,26_to_35,36_to_45,46_to_55,above_56
CRÈME DE LA MER,3,13,37,44,35,29
THE REVITALIZING MIST,0,0,4,3,2,4
THE LIP BALM,0,2,9,13,14,4
THE BROAD SPECTRUM SPF 50 UV PROTECTING FLUID,0,1,6,6,4,2
THE TREATMENT LOTION,0,2,21,16,12,6
THE MOISTURIZING SOFT CREAM,2,6,16,15,12,8
THE CONCRENTRATE,0,2,17,18,22,13
THE NEW LIFTING FIRMING SERUM,0,0,1,1,0,1
THE HYDRATING INFUSED EMULSION,1,36,1689,1527,616,136
THE LIFTING AND FIRMING MASK,0,0,5,4,6,3
THE REGENERATING SERUM,0,3,5,13,6,4
THE EYE CONCENTRATE,0,2,25,31,18,9
THE HYDRATING ILLUMINATOR,0,0,3,6,3,0
THE LIP VOLUMIZER,0,1,13,9,17,9
THE TREATMENT LOTION HYDRATING MASK,1,9,9,8,7,0
THE SOFT FLUID LONG WEAR FOUNDATION BROAD SPECTRUM SPF 20,0,2,1,1,5,6
THE HAND TREATMENT,0,2,2,12,7,2
THE NECK AND DÉCOLLETÉ CONCENTRATE,0,0,3,4,5,8
THE BODY CRÈME,0,0,4,7,1,2